serial_no,round_no,period,city,age,gender,occupation_of_respondent,annual_income,no_of_family_members,education_qualification,number_of_earning_members,perception_on_general_economic_condition_u_fffd_compared_to_one_year_ago,outlook_on_general_economic_condition_u_fffd_one_year_ahead,perception_on_household_circumstances_u_fffd_compared_to_one_year_ago,outlook_on_household_circumstances_u_fffd_one_year_ahead,perception_on_household_income_u_fffd_compared_to_one_year_ago,outlook_on_household_income_u_fffd_one_year_ahead,perception_on_household_spending_u_fffd_compared_to_one_year_ago,outlook_on_household_spending_u_fffd_one_year_ahead,perception_on_employment_scenario_u_fffd_compared_to_one_year_ago,outlook_on_employment_scenario_u_fffd_one_year_ahead,perception_on_general_price_levels_u_fffd_compared_to_one_year_ago,outlook_on_general_price_levels_u_fffd_one_year_ahead,perception_on_inflation_u_fffd_compared_to_one_year_ago,outlook_on_inflation_u_fffd_one_year_ahead
527,22,DEC-14,Kolkata,40-59,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Decreased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
528,22,DEC-14,Kolkata,22-29,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go down,More than last year,NA
529,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,Same as current year
530,22,DEC-14,Kolkata,22-29,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Improve,Somewhat worse off,Will be better off,Remained the same,Increase,Remained the same,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
531,22,DEC-14,Kolkata,30-39,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Remained the same,Increase,Improved,Will improve,Remained almost unchanged,Will go down,NA,NA
532,22,DEC-14,Kolkata,22-29,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,3,Worsen,Will Improve,Somewhat worse off,Will be better off,Decreased,Increase,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
533,22,DEC-14,Kolkata,30-39,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,2,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
534,22,DEC-14,Kolkata,60 & above,Male,Retired/Pensioner,Rs. 3 - 5 lakhs,5 and more,Graduate & above,4,Improved,Will Improve,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
535,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Below Graduate,1,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Decreased,Decrease,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
536,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
537,22,DEC-14,Kolkata,40-59,Male,Employed,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
538,22,DEC-14,Kolkata,22-29,Male,Unemployed,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Remained the same,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
539,22,DEC-14,Kolkata,40-59,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Below Graduate,2,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
540,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
541,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Decreased,Decrease,Increased,Neither increase nor decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
542,22,DEC-14,Kolkata,30-39,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
543,22,DEC-14,Kolkata,30-39,Female,Employed,Rs. 1 lakh or less,3 or 4,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Gone down,Will remain almost unchanged,NA,NA
544,22,DEC-14,Kolkata,22-29,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
545,22,DEC-14,Kolkata,22-29,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
546,22,DEC-14,Kolkata,40-59,Male,Employed,Rs. 1 lakh or less,5 and more,Up to primary,2,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
547,22,DEC-14,Kolkata,30-39,Male,Employed,Rs. 1 lakh or less,5 and more,Up to primary,2,Remained the same,Will Remain the Same,Difficult to say,Will be worsen,Remained the same,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
548,22,DEC-14,Mumbai,40-59,Male,Retired/Pensioner,Rs. 1 lakh or less,1 or 2,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Increase,Improved,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
549,22,DEC-14,Kolkata,40-59,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
550,22,DEC-14,Kolkata,30-39,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Remain the Same,Somewhat worse off,Will be better off,Decreased,Remain the same,Decreased,Increase,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
551,22,DEC-14,Kolkata,40-59,Female,Employed,Rs. 1 lakh or less,1 or 2,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
552,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,3,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Gone up,Will go up,Same as last year,More than current year
553,22,DEC-14,Kolkata,22-29,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
554,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Improved,Will Improve,Difficult to say,Will be better off,Remained the same,Remain the same,Increased,Increase,Remained the same,Will worsen,Gone up,Will go up,More than last year,Same as current year
555,22,DEC-14,Kolkata,30-39,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
556,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
557,22,DEC-14,Kolkata,40-59,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Improve,Somewhat worse off,Will be better off,Remained the same,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
558,22,DEC-14,Kolkata,22-29,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,3,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Improved,Will Remain the Same,Gone up,Will go up,Same as last year,More than current year
559,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Worsen,Difficult to say,Will be worsen,Decreased,Remain the same,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
560,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Decreased,Increase,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,Same as current year
561,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,1 or 2,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
562,22,DEC-14,Kolkata,40-59,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Decreased,Remain the same,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
563,22,DEC-14,Kolkata,40-59,Male,Employed,Rs. 1 lakh or less,5 and more,Up to primary,3,Worsen,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
564,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
565,22,DEC-14,Kolkata,22-29,Female,Unemployed,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Worsen,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
566,22,DEC-14,Kolkata,30-39,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Remain the Same,Somewhat worse off,Will be better off,Increased,Remain the same,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Less than current year
567,22,DEC-14,Mumbai,22-29,Male,Employed,Rs. 1 lakh or less,5 and more,Below Graduate,4,Remained the same,Will Worsen,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Decrease,Worsen,Will worsen,Gone down,Will go up,NA,More than current year
568,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 3 - 5 lakhs,5 and more,Below Graduate,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
569,22,DEC-14,Hyderabad,40-59,Male,Retired/Pensioner,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
570,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
571,22,DEC-14,Hyderabad,40-59,Male,Self employed/Business,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
572,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 3 - 5 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will worsen,Gone down,Will remain almost unchanged,NA,NA
573,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 5 lakhs or more,5 and more,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
574,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
575,22,DEC-14,Hyderabad,40-59,Male,Employed,Rs. 3 - 5 lakhs,5 and more,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
576,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
577,22,DEC-14,Hyderabad,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Remained the same,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
578,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,1,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
579,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Graduate & above,3,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
580,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
581,22,DEC-14,Hyderabad,22-29,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Graduate & above,3,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,Same as last year,More than current year
582,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
583,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
584,22,DEC-14,Hyderabad,40-59,Male,Employed,Rs. 3 - 5 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
585,22,DEC-14,Hyderabad,40-59,Male,Retired/Pensioner,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
586,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 5 lakhs or more,5 and more,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
587,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 3 - 5 lakhs,5 and more,Below Graduate,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
588,22,DEC-14,Mumbai,22-29,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Decreased,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
589,22,DEC-14,Kolkata,22-29,Male,Unemployed,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Improved,Will Worsen,Somewhat better off,Will Remain the Same,Increased,Remain the same,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
590,22,DEC-14,Kolkata,22-29,Female,House wife,Rs. 1 lakh or less,5 and more,Below Graduate,2,Improved,Will Worsen,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
591,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
592,22,DEC-14,Kolkata,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Decreased,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
593,22,DEC-14,Kolkata,30-39,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,2,Remained the same,Will Improve,Somewhat better off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
594,22,DEC-14,Kolkata,22-29,Male,Employed,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go down,More than last year,NA
595,22,DEC-14,Kolkata,40-59,Male,Unemployed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Worsen,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
596,22,DEC-14,Kolkata,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Worsen,Difficult to say,Will Remain the Same,Remained the same,Increase,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
597,22,DEC-14,Kolkata,40-59,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Increased,Decrease,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
598,22,DEC-14,Kolkata,22-29,Male,Unemployed,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Improved,Will Remain the Same,Somewhat worse off,Will be worsen,Increased,Increase,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
599,22,DEC-14,Kolkata,30-39,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Decreased,Decrease,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
600,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat worse off,Will be better off,Increased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
601,22,DEC-14,Kolkata,22-29,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Below Graduate,10,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
602,22,DEC-14,Kolkata,22-29,Male,Unemployed,Rs. 1 lakh or less,5 and more,Below Graduate,2,Improved,Will Improve,Difficult to say,Will be better off,Increased,Remain the same,Increased,Increase,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
603,22,DEC-14,Kolkata,22-29,Female,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Worsen,Will Remain the Same,Difficult to say,Will be better off,Decreased,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
604,22,DEC-14,Kolkata,22-29,Male,Unemployed,Rs. 1 - 3 lakhs,5 and more,Below Graduate,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
605,22,DEC-14,Kolkata,22-29,Male,Unemployed,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
606,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,3,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
607,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Improve,Somewhat worse off,Will be better off,Remained the same,Remain the same,Increased,Increase,Improved,Will improve,Gone up,Will go up,Same as last year,More than current year
608,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
609,22,DEC-14,Kolkata,22-29,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,6,Remained the same,Will Improve,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
610,22,DEC-14,Hyderabad,60 & above,Male,Daily Worker,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Increased,Remain the same,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
611,22,DEC-14,Hyderabad,22-29,Male,Daily Worker,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Increased,Increase,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
612,22,DEC-14,Hyderabad,22-29,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Graduate & above,2,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Increased,Decrease,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
613,22,DEC-14,Hyderabad,30-39,Female,Daily Worker,Rs. 1 - 3 lakhs,3 or 4,Up to primary,3,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
614,22,DEC-14,Hyderabad,30-39,Male,Daily Worker,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Decreased,Remain the same,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
615,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,3,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Increased,Decrease,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
616,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Decreased,Decrease,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
617,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
618,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Decrease,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
619,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will be better off,Decreased,Remain the same,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
620,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Up to primary,3,Worsen,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
621,22,DEC-14,Hyderabad,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Graduate & above,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Increased,Remain the same,Remained the same,Increase,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
622,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Graduate & above,4,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Decrease,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
623,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Worsen,Will Remain the Same,Somewhat better off,Will Remain the Same,Increased,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will worsen,Gone up,Will remain almost unchanged,More than last year,NA
624,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Up to primary,5,Remained the same,Will Improve,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
